Classes,F,FA,FR %,FRA %,XI,F.XI,XI2,F.XI2,XI.LI
"(3.139, 3.219]",13,13,0.13131313131313133,0.13131313131313133,3.1794000000000002,3.1794000000000002,10.108584360000002,10.108584360000002,41.3322
"(3.219, 3.299]",31,44,0.31313131313131315,0.4444444444444445,3.2594000000000003,6.4388000000000005,10.623688360000003,20.732272720000005,101.04140000000001
"(3.299, 3.379]",13,57,0.13131313131313133,0.5757575757575758,3.3394000000000004,9.778200000000002,11.151592360000002,31.883865080000007,43.412200000000006
"(3.379, 3.459]",10,67,0.10101010101010101,0.6767676767676768,3.4194000000000004,13.197600000000001,11.692296360000004,43.57616144000001,34.194
"(3.459, 3.539]",7,74,0.0707070707070707,0.7474747474747475,3.4994000000000005,16.697000000000003,12.245800360000004,55.82196180000001,24.495800000000003
"(3.539, 3.619]",6,80,0.06060606060606061,0.8080808080808082,3.5794000000000006,20.276400000000002,12.812104360000005,68.63406616000002,21.476400000000005
"(3.619, 3.699]",8,88,0.08080808080808081,0.888888888888889,3.6594000000000007,23.935800000000004,13.391208360000006,82.02527452000002,29.275200000000005
"(3.699, 3.779]",8,96,0.08080808080808081,0.9696969696969697,3.7394000000000007,27.675200000000004,13.983112360000005,96.00838688000003,29.915200000000006
"(3.779, 3.859]",2,98,0.020202020202020204,0.98989898989899,3.819400000000001,31.494600000000005,14.587816360000007,110.59620324000004,7.638800000000002
"(3.859, 3.939]",1,99,0.010101010101010102,1.0,3.899400000000001,35.394000000000005,15.205320360000007,125.80152360000004,3.899400000000001
